Venue,Latitude,Longitude,Category,Id
Парк для катания на роликах,47.22243179666168,38.856014013290405,Skate Park,4fc64745e4b0d3d6eec9383c
гавайская вечеринка🌸🌸🌺🌺,47.188257,38.8739,Beach,53c191ea498ed6ec6b7c2ff4
"ДСОЛ ""Мир""🚩",47.16586805954776,38.74069351899381,Summer Camp,53c26988498ef91170a1d967
Алколавка,47.219181,38.850538,Other Great Outdoors,5204002b498e4cc34b09b910
на даче,47.20854187011719,38.75581359863281,Other Great Outdoors,51852222498e6f54f9f9cdc3
Workout Zone Ксош,47.168838,38.739875,Sports Club,590dfa708134880da5d5280d
Беседка Космостарса,47.165032,38.73826,Arcade,53c8bf4b498eabcaf335808a
Миллион друзей,47.22289276123047,38.85374450683594,Café,53bd1587498e3207ee950324
Очаг,47.185259,38.8357,Café,51c03de6498e9608d8cf4a62
"Кафе ""Замок""",47.203105407343564,38.86230475820082,Café,511508eee4b0da5e8e25dd09
Детская Площадка на Простоквашино,47.216692,38.858837,Playground,4f6d7d3fe4b01d94fcb1e333
Детская площадка,47.22251491780907,38.85633567124378,Playground,4f4b3612e4b011fb78620c5f
"Пейнтбольный клуб ""СКИФ""",47.203665,38.853441,Paintball Field,5352305e498eea4f05b012bc
Розовое поле,47.198021,38.776611,Field,53822407498e044fe31eef04
Кафе Южный Город,47.216854206047685,38.85159207098878,Café,5289ff59498e08301f4c42d4
"Продуктовый Рынок ""Простоквашино""",47.21798399134526,38.85989663728536,Market,563235ff498edb730c812c3e
Санги Стиль,47.217622558355515,38.854068631630156,Miscellaneous Shop,4f3676b9e4b0571dc65e6c2f
Центр-Инвест (Русское Поле),47.21936251318602,38.857217503688595,Bank,4f323deee4b0e6be3be72657
чучева 46/1,47.215426,38.856891,Residential Building (Apartment / Condo),57dc2961498eaf062dd7b6ed
чучева 46/1,47.215233,38.856869,Residential Building (Apartment / Condo),57dc28d3498e7cf86c5274c0
Остановка «5-й микрорайон»,47.21881026665685,38.858524560928345,Bus Stop,5581c63a498e2a1d1f7f64de
"ДОЦ ""Орлёнок""",47.16844310381635,38.74215692847835,Cultural Center,53959309498e82b504b48224
РосТрансЛогистик,47.224501396305506,38.8362700562766,Factory,524a713f498e309414b28d5f
детский сад Колокольчик,47.21714606323238,38.85699471684004,Nursery School,5225665811d201764ab1461d
Детский сад №2,47.218933051692126,38.85183015102982,Nursery School,4f4770ffe4b03377e663e7d5
Сантехгаз,47.22083602217609,38.86085271835327,Hardware Store,519b5966498e81d12d67781f
Масленка,47.219262060564986,38.860230445861816,Automotive Shop,51cd0e59498e4f7da368e1eb
Архитектурная мастерская братьев Тимофеевых,47.216334105351734,38.863427515524045,Building,5209d22e11d2102561c5945d
Авторынок,47.21954136332678,38.86044578136613,Automotive Shop,4fc31e3fe4b05c2ab98c4178
Ателье мод СВЕТЛАНА,47.21882320149799,38.85790484804484,Tailor Shop,50aa339ae4b0b5a94aba69c7
Салон красоты КАРАМЕЛЬ,47.21424178059349,38.85991554002439,Salon / Barbershop,54a11d27498e70662661ae44
гостиница Сеновал,47.22542190551758,38.8560905456543,Hotel,518dc5bc498e10467b20b033
"""Моя Семья""",47.217872,38.856152,Salon / Barbershop,51b463a6498e537d97415acf
"Салон красоты ""Фокус""",47.218481,38.859386,Salon / Barbershop,54bfc7e1498ef0a75b678e42
Сбербанк,47.21805241016608,38.85739803314209,Bank,4f3673afe4b0cc4ce25cc8d9
Студия загара на Простоквашино,47.21722188973084,38.849919328698874,Tanning Salon,513df441e4b00e249388f280
салон арт,47.21876384895625,38.856699865109995,Salon / Barbershop,51b5a86a498e64beea41d09b
"Кафе ""Бриз""",47.164413,38.730978,Restaurant,5737559c498e5700be371839
ТЦ «От А до Я»,47.21754793478065,38.85459856284668,Shopping Mall,4fc4c92de4b0d9bac122fb55
С/Т «Мирный»,47.21771076525062,38.84374215285029,Housing Development,53e28a1e498ec6568c1c8a96
"ул. Чехова, 340",47.21812528145319,38.85508060455322,Residential Building (Apartment / Condo),4f589529e4b014b62a97f990
"Жилой многоквартирный дом (ул. Шило, 257)",47.21990782581973,38.85569869125157,Residential Building (Apartment / Condo),5282411e11d224bc20559bb6
боун,47.215799,38.86115,Bakery,56a4b3f5498ebd48f2943e76
СушиВесла,47.216188,38.860684,Sushi Restaurant,56ffecdc498eaf5a261b1278
Сауна АкваКлуб,47.210571,38.864441,Sauna / Steam Room,509eb042e4b005ec0064c554
Фреш Фитнес Детский Спортивный Клуб,47.218747732077055,38.85578374990004,Gymnastics Gym,54dcc433498e6287692d2573
"Спортзал ""Димитровец""",47.20840714266592,38.86826009263223,Soccer Stadium,551960d7498ef09f78fe2d8d
Ресторан Пирамида,47.2175614625771,38.85495312896796,Russian Restaurant,52f6568f498ed4d1d7ec2081
Taganrog Luxury Village,47.2165641784668,38.8347282409668,Castle,52c0701811d218de96448ea9
Наше место❤️,47.232079,38.804303,Other Great Outdoors,55dfadd7498e5edc85ce8e7b
Рр,47.21775644463228,38.85707206096394,Hockey Field,52ae0f7611d2a9bf66718394
Пленка,47.22171392122766,38.81130685142442,Recreation Center,56ff7e4d498e364bf09c400c
не надо меня шлепать! ✌️,47.21995792427391,38.85576285157106,Social Club,538ce8e0498ed8088ca07fa0
Fresh café,47.21990386447011,38.86242049485018,Café,52aeacfe11d25bc33cc7850f
Боулинг Нео,47.215947370266065,38.862176024242785,Bowling Alley,50dda740498efa5d40552946
Эрмитаж,47.219521540008266,38.852902393491036,Bar,4f49521ae4b01863541425a2
"Бильярдная ""Пирамида""",47.2175367684538,38.85454426626389,Pool Hall,511fdecfe4b0a1ec7c55f1a8
Баня,47.208171,38.86803,Bar,4f749bdbe4b026e791e0ba93
Времена года,47.21899449616912,38.860164771587954,Pub,50b68914e4b049278877334e
Виринея,47.21844482421875,38.86273574829102,Nail Salon,4f618a3fe4b06b1a17bcbc56
Subway,47.215959985158676,38.86250222884562,Sandwich Place,51d57e1a498ea6251edaf37c
"Южный Город ""Маршрутное Такси""",47.21624534321622,38.8504065668136,Parking,51e77247498e8fbcac016e4b
"Стоматология ""Зубная фея""",47.215387,38.86102,Doctor's Office,53e9f7a1498ed55091df27e0
Таганрогский Таможенный Пост,47.214629,38.862502,Government Building,5076a893e4b0c84a1263a4c0
Электрохаус,47.21776537135916,38.85683275762839,Electronics Store,52abea3a498e15ecac97d489
Автомойка напротив Лемакса,47.216733,38.860895,Car Wash,53e4753b498e80f80bb0a72f
MachineStore,47.21828559793235,38.86162519454956,Hardware Store,4fc3b65de4b089f18cda9965
Хозяин,47.21756985975705,38.85675808509393,Hardware Store,515fcd8be4b07bc2977581f4
Все для дома,47.21880722045898,38.85993194580078,Hardware Store,4fc4c625e4b01ac8e1ab4a20
Автохирургия - авторемонт,47.21882891779045,38.86024738348447,Gas Station,520ba8c211d2bdc4dabda6eb
Автосервис,47.216941833496094,38.862144470214844,Gas Station,4ff3c856e4b0aeae9d076c0d
Авто сити,47.217213468936514,38.86238658466824,Gas Station,523a7a63498eefc160f2e187
"НОУ НПО ""Таганрогская автомобильная школа""",47.21625977493468,38.85163849688529,College Academic Building,528f706f11d24f6d2c28121d
Стройкаа,47.216799,38.860575,Building,4e3cd997d4c058f9dbfde6d6
"Магазин детских товаров ""Аленка""",47.21909,38.861749,Kids Store,4fbf4104e4b0ccc91e293c4e
Зоомагазин Артема и Саши,47.21790348897,38.8510774209997,Pet Store,50af2c89e4b04cb0a14d15be
"ООО ""РостАква""",47.21478278456493,38.86488383490535,Storage Facility,52b2f64711d2f3f9456a26b7
солярий Твое Персональное Солнце,47.217322953765056,38.84975783433904,Salon / Barbershop,5266947811d289a3340c4076
Магнит,47.217542308352016,38.85515570640564,Grocery Store,4f3674d0e4b017ad79ec870d
Постелькино,47.22032142585909,38.85530402496503,Miscellaneous Shop,5199f9dd498e5079dc88473f
